Company Name,URL,Countries,Job Count,Remote Job Count
Blue Bottle Coffee,https://jobs.lever.co/bluebottlecoffee,"{'United States', 'CA', 'MA', 'Los Angeles', 'Kyoto', 'Kanagawa', 'Northern California - San Francisco', 'Hong Kong', 'Northern California - South Bay/Peninsula', 'Southern California', 'Northern California - East Bay', 'Japan', 'IL', 'Newport', 'Seoul', 'San Diego', 'Kobe', 'Remote', 'Kagoshima', 'New York', 'Gunma', 'D.C.'}",79,5
ASAP.com,https://jobs.lever.co/asap,"{'MA', 'AR', 'MN', 'MS', 'AL', 'Remote USA', 'LA', 'TX', 'GA', 'SC', 'FL'}",27,1
RoundGlass,https://jobs.lever.co/roundglass,"{'Boston', 'Toronto', 'Los Angeles', 'Delhi', 'Bay Area', 'Punjab', 'New York', 'WA D.C', 'Haryana', 'Uttar Pradesh', 'Washington'}",49,8
Caseware,https://jobs.lever.co/caseware,"{'United Kingdom', 'Georgia', 'Romania', 'Netherlands', 'Colombia', 'Germany', 'Canada'}",22,12
"Alation, Inc.",https://jobs.lever.co/alation,"{'Germany', 'Chennai', 'NY', 'UK', 'Australia', 'Chile', 'Ahmedabad', 'Poland', 'Bangalore', 'CA', 'Mumbai', 'Boston'}",34,21
WEBTOON Entertainment Inc. (Wattpad & WEBTOON Family of Brands),https://jobs.lever.co/wattpad,"{'Nova Scotia', 'Remote - US', 'California', 'Remote - US or Canada', 'Ontario'}",37,19
Planned Parenthood of Illinois,https://jobs.lever.co/ppil,"{'Near North', 'Chicagoland (South and West)', 'Downstate Illinois', 'Chicagoland (North and West)', 'State of Illinois', 'within the state of Illinois', 'Chicago/Upstate/Illinois', 'IL', ' IL', 'Southern Illinois', 'Central IL'}",42,1
Getty Images,https://jobs.lever.co/gettyimages,"{'Berlin', 'Remote - Canada', 'Sydney', 'Paris', 'London', 'Munich', 'Vancouver', 'Hamburg', 'Canada', 'IL', 'CA', 'Dublin', 'United States', 'Germany', 'WA', 'Remote - United States'}",32,13
Nielsen,https://jobs.lever.co/nielsen,"{'AL', 'Netherlands', 'AZ', 'Sweden', 'CO', 'United States', 'Germany', 'CA', 'NC', 'WA', 'TN', 'WI', 'VA', 'MA', 'Taiwan', 'Australia', 'LA', 'GA', 'NV', 'PA', 'OH', 'Malaysia', 'NY', 'New Zealand', 'MN', 'Thailand', 'South Korea', 'India', 'France', 'MD', 'OK', 'FL', 'Saudi Arabia', 'CT', 'TX', 'SC', 'Spain', 'Mexico', 'Canada'}",127,68
SupportNinja,https://jobs.lever.co/supportninja,"{'Iowa', 'Wisconsin', 'illinois', 'Romania', 'Taguig/Quezon City/Pampanga', 'Texas', 'Oklahoma', 'Nebraska', 'Central Luzon', 'Missouri', 'Kansas', 'Arizona', 'Minnesota', 'Wyoming', 'National Capital Region', 'United States', 'Philippines'}",87,57
Sword Health,https://jobs.lever.co/swordhealth,"{'Guimarães', 'Cantanhede', 'Marco Canaveses', 'Estarreja', 'United States', 'Sintra', 'Porto', 'Amarante', 'Gondomar', 'Soure', 'Remote (Compact states)', 'Águeda', 'Santo Tirso', 'Amadora', 'Valongo', 'Coimbra', 'Arouca', 'Lousada', 'Castelo de Paiva', 'Trofa', 'Paços de Ferreira', 'Penafiel', 'Brazil', 'Felgueiras', 'Remote', 'Vila Nova de Famalicão', 'Figueira da Foz', 'Portugal', 'Mafra', 'Braga', 'Vila Nova de Gaia', 'São João da Madeira'}",57,50
Mactores,https://jobs.lever.co/mactores,"{'TX', 'NA', 'CO', 'WA', 'MH'}",31,31
Brevo,https://jobs.lever.co/brevo,"{'California', 'Texas', 'France', 'New York', 'Bulgaria', 'Germany', 'Sendinblue', 'Massachusetts', 'Uttar Pradesh', 'Washington'}",51,9
Planned Parenthood of Greater New York,https://jobs.lever.co/ppgny,"{'Hudson Valley Region OR Ithaca Region', 'New York - Admin Offices', 'New York - Health Center', 'All Locations', 'Regions 2 & 3', 'New York State', 'NY', 'Mid-Hudson Valley'}",55,1
"CampusWorks, Inc.",https://jobs.lever.co/campusworksinc,"{'New Jersey', 'Remote', 'IL', 'Arizona', 'Massachusetts'}",28,23
Harness,https://jobs.lever.co/harness,"{'Bengaluru', 'London', 'Paris', 'Washington DC', 'Sao Paulo', 'Dallas', 'Belgrade', 'Mountain View', 'San Francisco', 'Boston'}",33,10
Hinge Health,https://jobs.lever.co/hingehealth,"{'Austin; San Francisco; Seattle; Portland', 'United States', 'Bengaluru', 'New Jersey', 'Minnesota', 'Ontario', 'Quebec', 'Philadelphia', 'Arizona; New Mexico; Florida; Texas;  Nevada; Louisiana', 'Florida; Ohio; Arizona; Utah; Missouri; Kansas; Tennessee', 'Montréal', 'Massachusetts; Pennsylvania; Georgia; Colorado; North Carolina; Oregon; Minnesota', 'Arizona; Arkansas; Indiana; Iowa; Kentucky; Louisiana; Mississippi; Missouri; Montana; Nebraska; North Dakota; Ohio; Oklahoma; South Carolina; South Dakota; Tennessee; Utah; West Virginia', 'Seattle', 'Austin; Portland; Seattle', 'Portland; Seattle; San Francisco', 'California; Washington; Illinois; Texas; Virginia; Maryland; Michigan', 'San Francisco; Portland; Seattle; Austin', 'San Francisco; Seattle', 'San Francisco', 'Canada'}",65,18
Popmenu,https://jobs.lever.co/popmenu,"{'Toronto', 'GA', 'TX', 'IL', 'New York City', 'CO', 'CA', 'FL', 'DC', 'TN'}",27,3
UpGuard,https://jobs.lever.co/upguard,"{'Tampa', 'Sydney', 'Austin', 'Seattle', 'San Diego', 'Los Angeles', 'Portland', 'Melbourne', 'Brisbane', 'Hobart', 'Bangalore', 'Miami', 'San Francisco'}",29,29
Spotify,https://jobs.lever.co/spotify/,"{'London', 'Bangalore', 'Dublin', 'CA', 'Mumbai', 'Johannesburg', 'Dubai', 'São Paulo', 'New Delhi', 'NY', 'Sydney', 'Düsseldorf', 'Stockholm', 'Tokyo', 'Buenos Aires', 'IL', 'Singapore', 'Berlin', 'Amsterdam', 'Mexico City'}",101,22
ZURU,https://jobs.lever.co/zuru,"{'Auckland', 'Sydney', 'Kolkata', 'Pune', 'Paris', 'Los Angeles', 'Milan', 'Istanbul', 'Ahmedabad', 'Modena', 'Leeds', 'Mississauga', 'Germany'}",60,1
Form Energy,https://jobs.lever.co/formenergy,"{'MA', 'WV', 'DC or Remote', 'GA', 'PA', 'United States', 'CA', 'Colorado'}",124,7
Verkada,https://jobs.lever.co/verkada,"{'West Virginia', 'Paris', 'London', 'Chicago', 'Alberta', 'United States', 'Washington', 'Florida', 'Australia', 'Atlanta', 'New York City', 'Indiana', 'California', 'South Korea', 'Southeast', 'Stockholm', 'Tokyo', 'Poland', 'Japan', 'Arizona', 'Nashville', 'Utah', 'Denver', 'West', 'Texas', 'Pennsylvania', 'Nevada', 'New York', 'Amsterdam', 'Mexico', 'D.C.', 'Canada'}",227,41
Match Group,https://jobs.lever.co/matchgroup,"{'Ireland', 'South Korea', 'UK', 'Canada', 'Japan', 'France', 'Singapore', 'United States', 'Germany', 'US', 'Belgium'}",92,12
